text,clean_text
Она меня растерзает и на завтрак съест елду мою (съест!),она я растерзать и на завтрак съесть елд мой съесть
"Прошу вас, помогите мне!",просить вы помочь я
"Ахах, я так не думаю",ахи я так не думать
Стоп! Лyкизм — это новый феминизм (да),стоп лyкизм это новый феминизм да
"Мы тоже люди, сука, дайте хуемразям жизнь",мы тоже человек сука дать хуемразь жизнь
Стоп! Лукизм — это новый феминизм (да),стоп лукизм это новый феминизм да
"Мы тоже люди, сука, дайте хуемразям жизнь!",мы тоже человек сука дать хуемразь жизнь
Давай!,давать
Менсплейнинг! (О),менсплейнинг о
Виктимблейминг!,виктимблейминг
"Ла, ла-ла, ла-ла, ла-ла",ла
"Ла, ла-ла, ла-ла, ла-ла",ла
Каво?!,каво
Бодипозитив! (О),бодипозитив о
Бодишейминг! (Жирная!),бодишейминг жирный
Пью тусин из УЗИ,пить тусин из узи
Позже прыгаю в такси,поздний прыгать в такси
Я никакой – это стиль,я никакой это стиль
"Утром позвоню, прости",утром позвонить простить
Я танцую – и мне мало,я танцевать и я мало
Выпиваю – и мне мало,выпивать и я мало
Если я врываюсь в клуб – срочно вызывай охрану,если я врываться в клуб срочно вызывать охрана
Я больной – это стиль,я больной это стиль
Я ползу до барной стойки,я ползти до барный стойка
"Вертолёты, лопасти, я герой чужих историй",вертолёт лопасть я герой чужой история
"Перепью тебя, поспорим?",перепить ты поспорить
Завали своё ебало!,заваль свой ебало
Если я врываюсь в клуб – срочно вызывай охрану!,если я врываться в клуб срочно вызывать охрана
"Рапапиру, па, пурапа",рапапир па пурапа
"Рапапира, пу, папам (ай)",рапапир пу папа ай
Я ритмично бью залупой синей по твоим губам (па-па-па-пав),я ритмично бить залупа синь по твой губа
И после каждого удара остаются синяки (тибидау),и после каждый удар оставаться синяк тибидау
"Ты собрал с лица камшоты, мы собрали Лужники (ву-у)",ты собрать с лицо камшота мы собрать лужники
"Твоё сало потечёт, когда тут Фрио запоёт!",твой сало потечь когда тут фрио запеть
"Твоя мать тебя за двойки пиздит, нам она сосёт",твой мать ты за двойка пиздить мы она сосать
"Да, мы отроем тебе бошку и нассым тебе на рану",да мы отрыть ты бошка и нассать ты на рана
Кто безмозглый и обоссаный?,кто безмозглый и обоссаный
"Бля, вызывай охрану!",бля вызывать охрана
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
"СКОРОСТЬ тут, посмотри",скорость тут посмотреть
Мы летим на Бамблби (у),мы лететь на бамблбить у
"Будь осторожней, ведь с тобой тут караоке-короли",быть осторожный ведь с ты тут
"Собираю лифаки, пу-пу, па-па – и ты погиб",собирать лифак и ты погибнуть
"Да ты крутой, но в твоём скваде разве были Лифари? (о, нет)",да ты крутой но в твой сквад разве быть лифари о нет
"Семеро одного не ждут, я на рисунках там и тут",семеро один не ждать я на рисунок там и тут
"О, Боже, Фрио что-то мутит, в этот раз ты понял суть",о бог фрио мутить в этот раз ты понять быть
"Я снова проебал свитшот, и там опять кто-то блюёт",я снова проебал свитшота и там опять блевать
"Запомни, если с нами ПАНЦУ, нас боится даже коп",запомнить если с мы панец мы бояться даже копа
Я ебаный придурок (чего?!),я ёбаный придурок что
Я увёл твою hoe (еба),я увести твой hoe еба
"Не ищи её здесь, она уехала далеко, эй (прр, прр)",не искать её здесь она уехать далеко эй прр прр
"Называй меня нищий, сука знает, чем я богат (нахуй)",называть я нищий сука знать чем я богатый нахуй
"Исчезал бы бумаги, пока я живой талант (о-о-у)",исчезать бы бумага пока я живой талант
"Сука, Фрио пати рвёт твою щель",сука фрио пати рвать твой щель
Сбрил у бати я миску щей,сбрить у батя я миска щи
Не ебались за рэп ваще,не ебаться за рэп ващий
Это money back in my arms (каких?!),это money back in my arms какой
I do my best and your time is suck,i do my best and your time is suck
"You fucking shit, take a look around",you fucking shit take a look around
Пати жесть – значит всё по плану,пати жесть значит всё по план
"Фрио здесь, вызывай охрану!",фрио здесь вызывать охрана
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Ты-ты-ты чувствуешь стиль (а),чувствовать стиль а
Фрио – это мета-панк,фрио это
Ты-ты слышишь звуки гильз (а),слышать звук гильза а
Этот трек как автомат,этот трек как автомат
Ра-та-та-та-та-та-та (да),да
Я как школьный хулиган,я как школьный хулиган
Я макаю русский рэп гы-гы-головой в толкан,я макать русский рэп в толкать
"Шаришь, падаван?",шарить падаван
"Когда Фрио в клубе, то всем го-ря-чо (е)",когда фрио в клуб то весь быть
Мы раздали стиль и все хотят ещё (я),мы раздать стиль и всё хотеть ещё я
"Вызывай охрану, если жизнь так дорога",вызывать охрана если жизнь так дорога
"Я родился для того, чтоб делать балаган! (эщкере)",я родиться для тот чтоб делать балаган эщкер
"Я на бите каждый день, кошу сено в темноте",я на бит каждый день кош сено в темнота
"Йоу, хлебобор-гэнг, fucking damn",йоу fucking damn
"Звук как low, коса в руке",звук как low коса в рука
"Йоу, дай мне серп, такой стейк ты не купишь на гидре",йоу дать я серп такой стейк ты не купить на гидра
"Ты найдёшь пулю в голове, если посмотришь на мой хлеб",ты найти пуля в голова если посмотреть на мой хлеб
"Да, я хлебобор, слышь, не тронь моё пшено (а, а, а)",да я хлебобора слышь не тронуть мой пшено а а а
"Отойди, не то найдут под мельницей твой гроб (а, а, а)",отойти не то найти под мельница твой гроб а а а
"Это Фрио-флоу, давай проваливай домой (а, а, а)",это давать проваливать домой а а а
"Вызывай охрану, мы пришли ебать твой рот!",вызывать охрана мы прислать ебать твой рот
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Вызывай охрану,вызывать охрана
"Вызы-вызывай охрану, а",охрана а
Lida,lida
"MORGENSHTERN, ха-ха",morgenshtern
"У-у, я",я
"И я выдыхаю, выдыхаю, выдыхаю, ха",и я выдыхать выдыхать выдыхать ха
"Тебе не нужны цветы, тебе нужны мозги, дура",ты не нужный цветок ты нужный мозг дура
"Просто уходи из моей груди, как дым",просто уходить из мой грудь как дым
Уравнения верны: тебе пора валить к подругам,уравнение верный ты пора валить к подруга
"Не еби мозги, на-на-на-на-на",не еби мозг
"Закрываю веки, мои глаза — таблетки",закрывать веко мой глаз таблетка
Едкий дым раздавил всю мою грудную клетку,едкий дым раздавить весь мой грудной клетка
Твои тупые речи в районе километра,твой тупой речь в район километр
"Убивают всё живое, Боже, что с тобой не так?",убивать всё живой бог что с ты не так
"Ты наносишь мне удары, но сама не понимаешь",ты наносить я удар но сам не понимать
"Наша love — она, как лёд, а значит, постоянно тает",наш love она как лёд а значит постоянно таять
"Мы с тобой несовместимы, будто Radiant и Dire",мы с ты несовместимый будто radiant и dire
"Перестань меня держать рядом с собою, умоляю",перестать я держать рядом с себя умолять
"Тебе не нужны цветы, тебе нужны мозги, дура",ты не нужный цветок ты нужный мозг дура
"Просто уходи из моей груди, как дым",просто уходить из мой грудь как дым
Уравнения верны: тебе пора валить к подругам,уравнение верный ты пора валить к подруга
"Не еби мозги, на-на-на-на-на",не еби мозг
"На-на (на-на), на-на-на-на-на (йо, Морген)",йо морген
"Ты уже давно не та девчонка, что я знал",ты уже давно не тот девчонка что я знать
"Девочка выросла так рано, в ахуе мама",девочка вырасти так рано в ахуй мама
Её уже давно не удивить цветами,её уже давно не удивить цвета
"Ей лишь нужно, чтобы каждый день еба— (а, то есть)",она лишь нужно чтобы каждый день а то есть
"Ебали её жестко — вот всё, чё ей надо",ебали её жёстко вот всё что она надо
На хуй не нужны ей твои розы с шоколадом,на хуй не нужный она твой роза с шоколад
"А помнишь, как мечтал я трахнуть тебя в школе?",а помнить как мечтать я трахнуть ты в школа
"Так вот: теперь мне похуй, я теперь крутой и клёвый",так вот теперь я похуй я теперь крутой и клёвый
"Соси, соси, соси (соси)",сосать сосать сосать сосать
"Ты проебала своё счастье (соси, соси, соси)",ты проебал свой счастие сосать сосать сосать
"Помнишь? В школе я дарил тебе цветочки (соси, соси, соси)",помнить в школа я дарить ты цветочек сосать сосать сосать
"Ну а теперь, пошла ты на хуй",ну а теперь пойти ты на хуй
"Тебе не нужны цветы, тебе нужны мозги, дура",ты не нужный цветок ты нужный мозг дура
"Просто уходи из моей груди, как дым",просто уходить из мой грудь как дым
"Уравнения верны, тебе пора валить к подругам",уравнение верный ты пора валить к подруга
"Не еби мозги, на-на-на-на-на",не еби мозг
"Разобью твоё сердце, как телефон (Хатьфу)",разбить твой сердце как телефон хатьф
И поеду в тур за десять мультов (Бабки),и поехать в тур за десять мульт бабка
Алишер сказал — я стану звездой (И что?),алишер сказать я стать звезда и что
"Конечно стану, ведь я пиздец крутой (Ау)",конечно стать ведь я пиздец крутой ау
"Вырубай трек, если веган",вырубать трек если вегана
"Хавай это мясо, эго больше, чем у Ego (Бу-э)",хавать это мясо эго большой чем у ego
"Дети, я ваш декан, кручу рэп, как будто LEGO (У)",ребёнок я ваш декан круча рэп как будто lego у
"Мне не надо swag'а, сам футболочку затегал (У, ха)",я не надо swag а сам футболочка затегала у ха
"Каждым треком ставлю рекорд, будто тэтрис, е",каждый трек ставить рекорд будто тэтрис быть
"Punk mode on, у меня есть свой стиль во всём",punk mode on у я есть свой стиль в весь
Каждый трек — пиздец разъёб,каждый трек пиздец разъести
"В любом жанре, как в своём (Оу)",в любой жанр как в свой оу
"Слышишь? Долбаёб, я поднялся — ты не смог",слышать долбаести я подняться ты не смочь
"Ненавидишь меня, но ты слушаешь этот альбом (Let's go)",ненавидеть я но ты слушать этот альбом let go
"Разобью твоё сердце, как телефон",разбить твой сердце как телефон
И поеду в тур за десять мультов,и поехать в тур за десять мульт
Алишер сказал — я стану звездой (Факт),алишер сказать я стать звезда факт
"Конечно стану, ведь я пиздец крутой",конечно стать ведь я пиздец крутой
Ла-ла-ла-ла-ла-ла-ла-ла-ла (Я крутой),я крутой
Алишер сказал — я стану звездой (Факт),алишер сказать я стать звезда факт
"Конечно стану, ведь я пиздец",конечно стать ведь я пиздец
Все альбомы твоего gang'а,всё альбом твой gang а
"Звучат хуже, чем моя демка",звучать плохой чем мой демка
"Я сделал всё, о чём ты мечтал",я сделать всё о что ты мечтать
Но без продюсерского лейбла,но без продюсерский лейбл
"Скалишь зубки, как гиенка",скалить зубок как гиёнок
Злишься на меня — изо рта пенка,злиться на я из рот пенка
Ты должен быть благодарен,ты должный быть благодарный
Ведь тебя ебёт легенда (А),ведь ты ести легенда а
Вроде бы рок-альбом,вроде бы
"Но Lida на выебонах, как будто бы рэпер",но lida на выебон как будто бы рэпер
(А) Хейтеры шепчут: Ты крыса,а хейтеры шептать ты крыса
"Но мне похуй, ведь для меня это перхоть (А)",но я похуй ведь для я это перхоть а
Выхожу трахать арену в столице,выходить трахать арена в столица
На семь косарей человеков (А),на семь косарь человек а
"Скоро я выебу всех, кого ты знаешь",скоро я выести весь кто ты знать
"Для меня это, как нехуй (Нахуй)",для я это как нехуй нахуй
"Весь твой swag, bitch, это — безвкусно (Фу-у-у)",весь твой swag bitch это безвкусно
"Ты — это лох, а Lida — искусство (Ага)",ты это лох а lida искусство ага
Твоя подруга сосёт мои губы,твой подруга сосать мой губа
Я молодой красивый ублюдок,я молодой красивый ублюдок
"Разобью твоё сердце, как телефон",разбить твой сердце как телефон
И поеду в тур за десять мультов (Бабки),и поехать в тур за десять мульт бабка
Алишер сказал я стану звездой (Факт),алишер сказать я стать звезда факт
"Конечно стану, ведь я пиздец крутой (Я крутой)",конечно стать ведь я пиздец крутой я крутой
Ла-ла-ла-ла-ла-ла-ла-ла-ла (Крутой),крутой
Алишер сказал — я стану звездой (И что?),алишер сказать я стать звезда и что
"Конечно стану, ведь я пиздец круто-о-ой",конечно стать ведь я пиздец
"Записал хит в панельке на палку — залил, забил, уснул прикуренный (у!)",записать хит в панелька на палка залить забить уснуть прикурить у
"Небо сияет огнями, под падиком ночью ходят типулики (ага!)",небо сиять огонь под падик ночью ходить типулика ага
"Звезда упала, чтоб родилась новая подростковая яркая модная",звезда упасть чтоб родиться новый подростковый яркий модный
Как дела? Все встречайте — superstar,как дело всё встречать superstar
"Секс, love и алкоголь",секс love и алкоголь
"Rave, ненависть, любовь",rave ненависть любовь
"Драки, drug'и, мыслей ноль",драка drug и мысль ноль
Lida проснулся рок-звездой,lida проснуться
"Открой глаза, новая рок-звезда",открыть глаз новый
Скоро твоё ебало узнаёт вся страна,скоро твой ебало узнавать весь страна
"Тебя ждёт грязь, бабло и наркота",ты ждать грязь бабло и наркота
"Больно — похуй, зато запомнят навсегда",больно похуй зато запомнить навсегда
На-на-на-на-на-на! (Lida),lida
Эй!,эй
"Хе, Lida!",хе lida
"Rap, superstar, Eminem",rap superstar eminem
Все хотят мой звёздный член,всё хотеть мой звёздный член
Моя life — рок-концерт (ха),мой life ха
Электронный Disneyland (что),электронный disneyland что
Есть love — нет проблем,есть love нет проблема
Покупаю тебе коктейль,покупать ты коктейль
"Кислота, тусклый свет",кислота тусклый свет
Едем на коттедж ко мне,ехать на коттедж к я
"На моём лице ты кричишь: ""Ах""",на мой лицо ты кричать ах
"Это аниме, я твой семпай",это аниме я твой семпай
"Ты на мне, я в тебе до утра",ты на я я в ты до утро
Но на следующий день,но на следующий день
"Сука, с добрым утром, у тебя минута",сука с добрый утром у ты минута
"Чтоб свалить отсюда, между нами больше ничего не будет",чтоб свалить отсюда между мы большой ничего не быть
"Завтра я тебя забуду, скину, как окурок (вали)",завтра я ты забыть скинуть как окурок валить
У меня от тебя температура,у я от ты температура
"Температура, а",температура а
"Температура, а",температура а
"Температура, а",температура а
"Врубаю бас так, что сыпется бетон на пол",врубать бас так что сыпаться бетон на пол
Я сделал из своей хаты притон,я сделать из свой хата притон
"Эту baby так сильно впечатлил мой питон, а то",этот baby так сильно впечатлить мой питон а то
"Она пытается украсть его, oh, no!",она пытаться украсть он oh no
"Oh, no, броукам, не отсыплю свэгга",oh no броук не отсыпать свэгга
Твоим стоном разбудил соседа,твой стон разбудить сосед
"Один — ноль, в кольцо забиваю слэм данк",один ноль в кольцо забивать слэм данк
"Реп с колонок, Коля — непоседа",репа с колонка коля непоседа
"На моём лице ты кричишь: ""Ах""",на мой лицо ты кричать ах
"Это аниме, я твой семпай",это аниме я твой семпай
"Ты на мне, я в тебе до утра",ты на я я в ты до утро
Но на следующий день,но на следующий день
"Сука, с добрым утром, у тебя минута",сука с добрый утром у ты минута
"Чтоб свалить отсюда, между нами больше ничего не будет",чтоб свалить отсюда между мы большой ничего не быть
"Завтра я тебя забуду, скину, как окурок (вали)",завтра я ты забыть скинуть как окурок валить
У меня от тебя температура,у я от ты температура
"Rap, superstar, Eminem",rap superstar eminem
Все хотят мой звёздный член,всё хотеть мой звёздный член
Моя life — рок-концерт,мой life
Электронный Disneyland,электронный disneyland
Есть love — нет проблем,есть love нет проблема
Покупаю тебе коктейль,покупать ты коктейль
"Кислота, тусклый свет",кислота тусклый свет
Едем на коттедж ко мнe,ехать на коттедж к мнe
"Baby, я люблю тебя, но ты сумасшедшая",baby я любить ты но ты сумасшедший
"Сума-сумасшедшая, сумасшедшим стал и я",сумасшедший стать и я
"Даже в холод сентября, ты горишь и таю я",даже в холод сентябрь ты гореть и тая я
Ты моя авария,ты мой авария
"Baby, я люблю тебя, но ты сумасшедшая",baby я любить ты но ты сумасшедший
"Сума-сумасшедшая, сумасшедшим стал и я",сумасшедший стать и я
"Даже в холод сентября, ты горишь и таю я",даже в холод сентябрь ты гореть и тая я
Ты моя авария,ты мой авария
"Истерика и крики, летают телефоны",истерика и крик летать телефон
На худи от Bottega следы засохшей крови,на худить от bottega след засохнуть кровь
"Ты Кортни Лав, ты как самый дикий драг",ты кортни лав ты как самый дикий драга
Твой ядовитый поцелуй меня уносит в облака,твой ядовитый поцелуй я уносить в облако
"Ты в магазине своровала больше, чем моя зарплата",ты в магазин своровать большой чем мой зарплата
"Поджигала хату, на меня пролила латте — это ладно",поджигать хата на я пролить латта это ладный
"Порвала мою футболку, разбросала всю одежду",порвать мой футболка разбросать весь одежда
Я не знаю для чего ты мне тогда дала надежду,я не знать для что ты я тогда дать надежда
"Какая ж ты отбитая, неформалка дикая",какой ж ты отбить неформалка дикий
Упала и смеёшься вся в грязи,упасть и смеяться весь в грязь
"По дворам я тебя догонял, пьяная, красивая",по двор я ты догонять пьяный красивый
Живёшь как рок-звезда и это стиль (Go),жить как и это стиль go
"Baby, я люблю тебя, но ты сумасшедшая",baby я любить ты но ты сумасшедший
"Сума-сумасшедшая, сумасшедшим стал и я",сумасшедший стать и я
"Даже в холод сентября, ты горишь и таю я",даже в холод сентябрь ты гореть и тая я
Ты моя авария,ты мой авария
"Baby, я люблю тебя, но ты сумасшедшая",baby я любить ты но ты сумасшедший
"Сума-сумасшедшая, сумасшедшим стал и я",сумасшедший стать и я
"Даже в холод сентября, ты горишь и таю я",даже в холод сентябрь ты гореть и тая я
Ты моя авария,ты мой авария
"Забираю тебя с отдела, что ты снова натворила?",забирать ты с отдел что ты снова натворить
"Королева психодела, без запретов — это мило",королева психодеть без запрет это мило
"Ты бежишь не знаешь куда, но тебе это неважно",ты бежать не знать куда но ты это неважно
Твоя безумная шиза мне уже становится страшна,твой безумный шиза я уже становиться страшный
"Мы перелазили с тобой через забор, убегали от ментов",мы перелазить с ты через забор убегать от мент
"Мне не нужно лишних слов, ведь это даже не любовь",я не нужно лишний слово ведь это даже не любовь
Ты сумасшедшая дура в очках с большими глазами,ты сумасшедший дура в очки с больший глаз
"Не набирай меня больше, я для тебя всегда занят",не набирать я большой я для ты всегда занятый
Нареви мне реку,нареветь я река
Твои мувы — мимо,твой мува мимо
Каждый слог как гильотина,каждый слог как гильотина
Там где нас нету,там где мы нету
Встречались в полумраке от заката до рассвета,встречаться в полумрак от закат до рассвет
"Baby, я люблю тебя, но ты сумасшедшая",baby я любить ты но ты сумасшедший
"Сума-сумасшедшая, сумасшедшим стал и я",сумасшедший стать и я
"Даже в холод сентября, ты горишь и таю я",даже в холод сентябрь ты гореть и тая я
Ты моя авария,ты мой авария
"Baby, я люблю тебя, но ты сумасшедшая",baby я любить ты но ты сумасшедший
"Сума-сумасшедшая, сумасшедшим стал и я",сумасшедший стать и я
"Даже в холод сентября, ты горишь и таю я",даже в холод сентябрь ты гореть и тая я
Ты моя авария,ты мой авария
Я брошу навсегда бухать и юзать,я бросить навсегда бухать и юзать
Я брошу навсегда любить не тех (не тех),я бросить навсегда любить не тот не тот
"Я не простил себя за то, что",я не простить себя за то что
Проебал тебя на быстрых дискотеках (yeah),проебал ты на быстрый дискотека yeah
"Чувствую, что устал, хоть только проснулся",чувствовать что устать хоть только проснуться
Среди бардака и осушённых тел,среди бардак и осушить тело
Но среди них тебя не будет,но среди они ты не быть
И я снова спрячусь в своей пустоте (ага),и я снова спрятаться в свой пустота ага
Когда пришла зима и опустел весь город,когда прийти зима и опустелый весь город
Кинжалы-холода всех повалили снова,весь повалить снова
Я уснул дома в одиночку,я уснуть дом в одиночка
А батареи плакали на бетон (на бето-он),а батарея плакать на бетон на
В типах видел труху и ничё другого (а),в тип видеть труха и ничего другой а
"Читая этих шлюх, видел пустоту (а-а)",читать этот шлюха видеть пустота
Я не забыл только лишь твой голос,я не забыть только лишь твой голос
Он убивает каждый день мою психику (эй),он убивать каждый день мой психика эй
"Снова как тварь запил, но тебе всё равно",снова как тварь запить но ты всё равно
"Я снова засну один, а значит, снова засну в дерьмо",я снова заснуть один а значит снова заснуть в дерьмо
Я выкурил весь никотин (ах) и выпил весь алкоголь,я выкурить весь никотин ах и выпить весь алкоголь
"Я вижу плохие сны, ведь наяву тоже лишь только боль (а)",я видеть плохой сон ведь наяву тоже лишь только боль а
"Снова как тварь запил, но тебе всё равно",снова как тварь запить но ты всё равно
"Я снова засну один, а значит, снова засну в дерьмо",я снова заснуть один а значит снова заснуть в дерьмо
Я выкурил весь никотин (ах) и выпил весь алкоголь,я выкурить весь никотин ах и выпить весь алкоголь
"Я вижу плохие сны, ведь наяву тоже лишь только боль (а)",я видеть плохой сон ведь наяву тоже лишь только боль а
"Вою на луну, как волк-одиночка",вой на луна как
"Грустно и точка, грустно и точка",грустно и точка грустно и точка
"За окном дождик, на улице слякоть",за окно дождик на улица слякоть
"Тёмная ночка, и хочется плакать",тёмный ночка и хотеться плакать
"Больше нет сил, и я весь обесточен",большой нет сила и я весь обесточить
Запах свободы пахнет не очень,запах свобода пахнуть не очень
Дым с перегарчиком дома у Лидии,дым с перегарчик дом у лидий
Слёзки на щёчках никто не увидит,слёзка на щёчка никто не увидеть
"Снова как тварь запил, но тебе всё равно",снова как тварь запить но ты всё равно
"Я снова засну один, а значит, снова засну в дерьмо",я снова заснуть один а значит снова заснуть в дерьмо
Я выкурил весь никотин (ах) и выпил весь алкоголь,я выкурить весь никотин ах и выпить весь алкоголь
"Я вижу плохие сны, ведь наяву тоже лишь только боль (а)",я видеть плохой сон ведь наяву тоже лишь только боль а
"Снова как тварь запил, но тебе всё равно",снова как тварь запить но ты всё равно
"Я снова засну один, а значит, снова засну в дерьмо",я снова заснуть один а значит снова заснуть в дерьмо
Я выкурил весь никотин (ах) и выпил весь алкоголь,я выкурить весь никотин ах и выпить весь алкоголь
"Я вижу плохие сны, ведь наяву тоже лишь только боль",я видеть плохой сон ведь наяву тоже лишь только боль
Lida,lida
"(Иу) Ты кайф на вид, я на тебя залип",иу ты кайф на вид я на ты залипнуть
Мы встретились с тобой глазами у клуба класса вип (Эй),мы встретиться с ты глаз у клуб класс вип эй
"А кто с тобой стоит, бля у меня стоит",а кто с ты стоить бля у я стоить
"Поехали ко мне скорей, я вызвал нам такси (Е!)",поехать к я скорый я вызвать мы такси быть
Хватаю двух подружек — они возьмут игрушек (Пау-пау),хватать два подружка они взять игрушка
"Так старались, что стекает с глазок тушь их (Е!)",так стараться что стекать с глазок тушь они быть
"Похавал пусси-ужин, поспал — на утро сушит (Рок стар)",похавал поспасть на утро сушить рок старый
Звездочка довольна и ей никто не нужен,звёздочка довольный и она никто не нужный
Я так хочу забыться,я так хотеть забыться
Ведь ты моя убийца чувств,ведь ты мой убийца чувство
И чтобы раствориться,и чтобы раствориться
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь (Е)",набухаться накуриться быть
"И опять в тебя влюблюсь (У, у)",и опять в ты влюбиться у у
"Наберу, не дозвонюсь",набрать не дозвониться
Плачу и смотрю на твои фото,плач и смотреть на твой фото
Восемнадцать плюс,восемнадцать плюс
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь (Е)",набухаться накуриться быть
"И опять в тебя влюблюсь (У, у)",и опять в ты влюбиться у у
"Наберу, не дозвонюсь",набрать не дозвониться
Плачу и смотрю на твои фото,плач и смотреть на твой фото
Восемнадцать плюс,восемнадцать плюс
У меня есть дом и он набит баблом (Буэ-бе),у я есть дом и он набитый бабло
Каждый второй билборд светит моим еблом,каждый второй билборд светить мой еблом
Топ один артист — полный стадион (Стадио-он!),топ один артист полный стадион
"Все чё хотел добился, но лишился одного",всё что хотеть добиться но лишиться один
"Сердца больше нет, папарацци давят",сердце большой нет папарацци давить
Обсуждает интернет (Пишут ссаный бред),обсуждать интернет писать ссаный бред
"Я хочу к тебе, но медленно умираю",я хотеть к ты но медленно умирать
Жду когда погаснет свет (Счастья точка нет),ждать когда погаснуть свет счастие точка нет
Я так хочу забыться,я так хотеть забыться
Ведь ты моя убийца чувств,ведь ты мой убийца чувство
И чтобы раствориться,и чтобы раствориться
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь (Е)",набухаться накуриться быть
"И опять в тебя влюблюсь (У, у)",и опять в ты влюбиться у у
"Наберу, не дозвонюсь",набрать не дозвониться
Плачу и смотрю на твои фото,плач и смотреть на твой фото
Восемнадцать плюс,восемнадцать плюс
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь (Е)",набухаться накуриться быть
"И опять в тебя влюблюсь (У, у)",и опять в ты влюбиться у у
"Наберу, не дозвонюсь",набрать не дозвониться
Плачу и смотрю на твои фото,плач и смотреть на твой фото
Восемнадцать плюс,восемнадцать плюс
Real trap shit!,real trap shit
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь",набухаться накуриться
"Набухаюсь, накурюсь (Е)",набухаться накуриться быть
"И опять в тебя влюблюсь (У, у)",и опять в ты влюбиться у у
"Наберу, не дозвонюсь",набрать не дозвониться
Плачу и смотрю на твои фото,плач и смотреть на твой фото
Восемнадцать плюс,восемнадцать плюс
Lida!,lida
"Залетаю к вам в дверь с ноги, сучки в ахуе — мне до пизды",залетать к вы в дверь с нога сучка в ахуй я до пизда
"Я снимаю их бампер быстро, будто это Need for Speed (окей)",я снимать они бампер быстро будто это need for speed окей
